E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_397.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_397.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_397.jpg,0,0,0,1.155173E-05
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_444.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_444.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_444.jpg,0,0,0,1.154695E-05
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_514.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_514.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_514.jpg,0,0,0,3.263698E-06
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_584.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_584.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_584.jpg,0,0.0260382,0,0.02144822
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_652.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_652.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_652.jpg,0,0.2566869,0,0.1974469
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_720.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_720.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_720.jpg,0,0.4388727,0,0.4133668
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_787.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_787.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_787.jpg,0,0.6214206,0,0.7774386
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_858.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_858.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_858.jpg,0,0.871639,0,1.527619
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_924.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_924.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_924.jpg,0,1,0,2.190919
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_35_996.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_35_996.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_35_996.jpg,-0.2,1,0,3.123301
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_063.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_063.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_063.jpg,0,1,0,3.818616
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_133.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_133.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_133.jpg,0,1,0,4.75298
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_201.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_201.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_201.jpg,0,1,0,5.449329
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_272.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_272.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_272.jpg,-0.1,1,0,6.369811
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_344.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_344.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_344.jpg,-0.25,1,0,7.045285
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_417.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_417.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_417.jpg,0,1,0,7.950594
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_482.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_482.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_482.jpg,0,1,0,8.628121
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_550.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_550.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_550.jpg,0,1,0,9.301888
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_620.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_620.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_620.jpg,0,1,0,10.19412
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_689.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_689.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_689.jpg,-0.15,1,0,10.85276
E:\Autonomous Car\Data\IMG\center_2022_05_11_16_55_36_758.jpg,E:\Autonomous Car\Data\IMG\left_2022_05_11_16_55_36_758.jpg,E:\Autonomous Car\Data\IMG\right_2022_05_11_16_55_36_758.jpg,-0.35,1,0,11.52859
